Refined-decoration Just-room Room-for-improvement Landscape-district Brand-developer 
Brand-developer Room-for-improvement Shunting-of-human-and-vehicle Sufficient-parking-space Natural-lake 
Brand-developer Just-room Room-for-improvement two-fullbacks Landscape-district 
Just-room Low-total-price two-fullbacks School Landscape-district 
Brand-developer Landscape-district Large-community Shunting-of-human-and-vehicle Sufficient-parking-space 
Brand-developer Just-room two-fullbacks Landscape-district Man-made-Lake 
Room-for-improvement Landscape-district Old-age-house Shunting-of-human-and-vehicle Sufficient-parking-space 
Brand-developer Room-for-improvement two-fullbacks Large-living-room Landscape-district 
Forthcoming-opening Just-room Room-for-improvement two-fullbacks Market 
Forthcoming-opening Just-room Room-for-improvement two-fullbacks Market 
Brand-developer Room-for-improvement Landscape-district Large-community Shunting-of-human-and-vehicle 
Brand-developer Room-for-improvement two-fullbacks Landscape-district River-scenery 
Just-room Landscape-district Shunting-of-human-and-vehicle Investment-real-estate School 
Brand-developer Room-for-improvement Landscape-district Sufficient-parking-space Refined-decoration 
Landscape-district Amusement-Park Shunting-of-human-and-vehicle Sufficient-parking-space Bus-hub 
Kindergarten Brand-developer Room-for-improvement apartment Bay-window 
Kindergarten Brand-developer Room-for-improvement apartment Bay-window 
Brand-developer Forthcoming-opening Landscape-district Use-more-area Shunting-of-human-and-vehicle 
Brand-developer Landscape-district Villa Bay-window Sufficient-parking-space 
Brand-developer two-fullbacks Large-community Shunting-of-human-and-vehicle Sufficient-parking-space 
Line-1 Brand-developer synthesis Large-community Shunting-of-human-and-vehicle 
Line-1 Brand-developer Market Shunting-of-human-and-vehicle Bank 
单身apartment apartment Shunting-of-human-and-vehicle Sufficient-parking-space Investment-real-estate 
Just-room Room-for-improvement Exercise-and-fitness Landscape-district Market 
Just-room Room-for-improvement Market Shunting-of-human-and-vehicle Sufficient-parking-space 
Brand-developer synthesis Shunting-of-human-and-vehicle Hospital School 
单身apartment Landscape-district Market Amusement-Park New-opening 
Brand-developer Landscape-district Shunting-of-human-and-vehicle Park Villa 
Just-room Low-total-price two-fullbacks Landscape-district Bay-window 
Just-room Low-total-price two-fullbacks Landscape-district Bay-window 
Brand-developer Just-room Room-for-improvement Shunting-of-human-and-vehicle Shuangyang-platform 
Line-1 单身apartment Market Shopping-Mall Carry-a-bag 
Brand-developer Forthcoming-opening Just-room two-fullbacks Landscape-district 
Just-room 单身apartment Shopping-Mall Bay-window Shunting-of-human-and-vehicle 
Line-1 单身apartment Market 酒店式apartment Bus-hub 
Brand-developer Just-room Room-for-improvement two-fullbacks Shopping-Mall 
Just-room Room-for-improvement Landscape-district Marriage-room Shunting-of-human-and-vehicle 
Line-1 Brand-developer synthesis Large-community Shunting-of-human-and-vehicle 
Line-1 Brand-developer synthesis Large-community Shunting-of-human-and-vehicle 
Brand-developer Room-for-improvement Market Sufficient-parking-space Park 
Line-1 Shopping-Mall Sufficient-parking-space Bank Park 
Brand-developer Forthcoming-opening Large-community Shunting-of-human-and-vehicle Street-of-delicacies 
Line-1 Brand-developer Room-for-improvement Landscape-district River-scenery 
Brand-developer Forthcoming-opening two-fullbacks School Street-of-delicacies 
Brand-developer Landscape-district Shunting-of-human-and-vehicle Sufficient-parking-space Kindergarten 
Just-room Low-total-price apartment Low-univalent Investment-real-estate 
Shopping-Mall Brand-developer Market two-fullbacks Bus-hub 
Just-room Landscape-district Low-univalent Shunting-of-human-and-vehicle low-density 
apartment Market Shopping-Mall Shunting-of-human-and-vehicle Bus-hub 
Line-1 Room-for-improvement Shunting-of-human-and-vehicle Sufficient-parking-space Compound-real-estate 
Just-room Landscape-district Market Sufficient-parking-space low-density 
New-opening Brand-developer Room-for-improvement two-fullbacks School 
New-opening Brand-developer Room-for-improvement two-fullbacks School 
New-opening Brand-developer Room-for-improvement two-fullbacks School 
Landscape-district Exercise-and-fitness Large-community Shunting-of-human-and-vehicle Bus-hub 
Landscape-district Exercise-and-fitness Large-community Shunting-of-human-and-vehicle Bus-hub 
Brand-developer Landscape-district River-scenery Sufficient-parking-space low-density 
Brand-developer Just-room Landscape-district Market Sufficient-parking-space 
Just-room River-scenery Market Sufficient-parking-space Natural-lake 
Brand-developer Just-room School two-fullbacks Hospital 
Brand-developer Sufficient-parking-space Compound-real-estate Park 
Brand-developer Just-room two-fullbacks Landscape-district Bay-window 
Brand-developer Landscape-district Shopping-Mall Shunting-of-human-and-vehicle Sufficient-parking-space 
Just-room two-fullbacks Terrace Landscape-district Scenic-spot 
Landscape-district River-scenery Sufficient-parking-space Compound-real-estate low-density 
Line-1 Brand-developer 单身apartment synthesis Low-univalent 
Brand-developer Large-community New-opening River-scenery Sufficient-parking-space 
Brand-developer two-fullbacks Landscape-district synthesis Bay-window 
Just-room Landscape-district Bus-hub School 
Brand-developer Exercise-and-fitness Large-community low-density Villa 
Low-total-price apartment Natural-lake Non-blank 
Just-room Low-univalent Investment-real-estate low-density School 
Line-1 Brand-developer Room-for-improvement apartment River-scenery 
Just-room two-fullbacks Landscape-district Low-univalent Large-sized-apartment 
Landscape-district 酒店式apartment Low-univalent Sufficient-parking-space low-density 
Line-1 apartment Market 酒店式apartment Hospital 
Just-room Landscape-district Low-univalent Sufficient-parking-space low-density 
Investment-real-estate Just-room Room-for-improvement Landscape-district Low-univalent 
Investment-real-estate Just-room Low-total-price Low-univalent Shuangyang-platform 
Landscape-district Scenic-spot Old-age-house Shunting-of-human-and-vehicle Sufficient-parking-space 
Scenic-spot Just-room Old-age-house Room-for-improvement Investment-real-estate 
Just-room synthesis Market Sufficient-parking-space Bank 
Line-1 Brand-developer Forthcoming-opening synthesis Market 
Brand-developer Just-room Landscape-district synthesis low-density 
Just-room Sufficient-parking-space Bank School 
Brand-developer apartment synthesis Non-blank low-density 
Brand-developer Just-room Low-total-price apartment Low-univalent 
Brand-developer Landscape-district River-scenery Shunting-of-human-and-vehicle Sufficient-parking-space 
Brand-developer 酒店式apartment two-fullbacks Bay-window Shunting-of-human-and-vehicle 
Brand-developer Just-room Room-for-improvement Landscape-district Shunting-of-human-and-vehicle 
Brand-developer Just-room Room-for-improvement Landscape-district Shunting-of-human-and-vehicle 
Line-1 Forthcoming-opening Low-total-price apartment Low-univalent 
Brand-developer Just-room Shunting-of-human-and-vehicle Carry-a-bag Kindergarten 
Brand-developer Just-room Landscape-district Sufficient-parking-space low-density 
Low-total-price apartment synthesis Market Low-univalent 
Brand-developer Landscape-district Large-community Investment-real-estate low-density 
Brand-developer Just-room Room-for-improvement Sufficient-parking-space Villa 
Brand-developer Just-room Room-for-improvement Landscape-district Sufficient-parking-space 
单身apartment apartment Shunting-of-human-and-vehicle Sufficient-parking-space Compound-real-estate 
Line-1 Just-room synthesis Large-community Low-univalent 
Brand-developer Room-for-improvement Landscape-district Sufficient-parking-space low-density 
Brand-developer Sufficient-parking-space Natural-lake Investment-real-estate 
单身apartment Low-univalent Shunting-of-human-and-vehicle Sufficient-parking-space Bus-hub 
Line-1 Room-for-improvement River-scenery Shunting-of-human-and-vehicle Park 
Brand-developer Just-room Landscape-district Bay-window New-opening 
Line-1 
Just-room two-fullbacks Man-made-Lake Large-community Shunting-of-human-and-vehicle 
Brand-developer Low-total-price apartment Low-univalent Compound-real-estate 
Brand-developer Forthcoming-opening 单身apartment synthesis Shopping-Mall 
Just-room Landscape-district Shunting-of-human-and-vehicle Sufficient-parking-space low-density 
Brand-developer Forthcoming-opening two-fullbacks Landscape-district Large-community 
Line-1 Brand-developer Just-room Landscape-district synthesis 
Line-1 apartment Shopping-Mall square Bus-hub 
Landscape-district Shopping-Mall Shunting-of-human-and-vehicle Street-of-delicacies With-a-swimming-pool 
Brand-developer Just-room Market Large-community School 
Brand-developer Just-room Market Large-community School 
Brand-developer Just-room synthesis Market Large-community 
Brand-developer Just-room synthesis Market Large-community 
Line-1 Brand-developer synthesis Large-community Shunting-of-human-and-vehicle 
Line-1 Brand-developer Room-for-improvement synthesis Market 
Brand-developer two-fullbacks Landscape-district Large-community Bay-window 
Just-room Landscape-district New-opening Park low-density 
Line-1 Just-room Large-community Compound-real-estate Kindergarten 
Just-room Landscape-district Sufficient-parking-space Natural-lake low-density 
Just-room Landscape-district Sufficient-parking-space low-density School 
Forthcoming-opening Low-total-price apartment Low-univalent Loft 
Room-for-improvement Landscape-district Large-community Shunting-of-human-and-vehicle Natural-lake 
Line-1 Brand-developer Just-room Landscape-district Shunting-of-human-and-vehicle 
Brand-developer Landscape-district 酒店式apartment Sufficient-parking-space Compound-real-estate 
Brand-developer Just-room Room-for-improvement Landscape-district Sufficient-parking-space 
Market Brand-developer 单身apartment Landscape-district Large-community 
Line-1 Brand-developer Landscape-district synthesis Large-community 
Line-1 Brand-developer Landscape-district synthesis Large-community 
Just-room Landscape-district Shunting-of-human-and-vehicle Sufficient-parking-space Natural-lake 
Landscape-district Non-blank Carry-a-bag Luxury-house low-density 
Just-room Low-total-price Low-univalent Shunting-of-human-and-vehicle 
Room-for-improvement Landscape-district Shunting-of-human-and-vehicle Sufficient-parking-space Home-garden 
Brand-developer apartment Market Sufficient-parking-space Investment-real-estate 
Line-1 Brand-developer Room-for-improvement Landscape-district Shunting-of-human-and-vehicle 
Brand-developer Room-for-improvement Shunting-of-human-and-vehicle Kindergarten low-density 
Brand-developer Landscape-district Natural-lake low-density 
Brand-developer Room-for-improvement Shunting-of-human-and-vehicle Sufficient-parking-space Bus-hub 
Brand-developer Just-room Landscape-district apartment Bay-window 
Brand-developer Just-room Landscape-district Low-univalent Sufficient-parking-space 
Brand-developer Just-room Low-total-price Landscape-district Large-community 
Brand-developer River-scenery Shunting-of-human-and-vehicle Sufficient-parking-space Park 
Brand-developer Landscape-district Large-community Natural-lake Park 
Brand-developer Landscape-district Large-community Natural-lake Park 
Just-room Low-total-price Large-community Low-univalent low-density 
Brand-developer Room-for-improvement Landscape-district Large-community low-density 
Just-room Market Compound-real-estate Kindergarten low-density 
Just-room Man-made-Lake Market Sufficient-parking-space 
Brand-developer Landscape-district Natural-lake Investment-real-estate low-density 
Just-room Bank Hospital School 
Line-1 Landscape-district Sufficient-parking-space Natural-lake Luxury-house 
Just-room Landscape-district Sufficient-parking-space Natural-lake Villa 
Line-1 Just-room Landscape-district Market Mountain-scenery 
Just-room Low-total-price two-fullbacks Landscape-district Low-univalent 
Just-room Market two-fullbacks Large-community Low-univalent 
Brand-developer Just-room Landscape-district Low-univalent Food-market 
Shopping-Mall Sufficient-parking-space Compound-real-estate Investment-real-estate School 
Room-for-improvement synthesis Market Shopping-Mall Bus-hub 
Forthcoming-opening Just-room Landscape-district Scenic-spot Low-univalent 
Just-room 单身apartment Low-total-price Investment-real-estate low-density 
Line-1 Landscape-district River-scenery Shunting-of-human-and-vehicle Sufficient-parking-space 
Just-room Low-total-price Low-univalent Shunting-of-human-and-vehicle Sufficient-parking-space 
Just-room Low-total-price Low-univalent Sufficient-parking-space School 
Landscape-district With-a-swimming-pool Old-age-house Luxury-house High-end-Club 
Landscape-district With-a-swimming-pool Old-age-house Luxury-house High-end-Club 
Just-room Landscape-district synthesis Shunting-of-human-and-vehicle School 
two-fullbacks Old-age-house Kindergarten Sufficient-parking-space Refined-decoration 
Brand-developer 单身apartment Low-total-price Landscape-district Loft 
Just-room Market Kindergarten low-density High-end-Club 
Just-room Room-for-improvement two-fullbacks Bay-window Shunting-of-human-and-vehicle 
Brand-developer Landscape-district apartment Hospital 
Brand-developer Just-room Landscape-district Shopping-Mall Low-univalent 
Landscape-district apartment Shunting-of-human-and-vehicle Bus-hub low-density 
Landscape-district apartment Shunting-of-human-and-vehicle Bus-hub low-density 
Brand-developer Just-room Large-community School 
Brand-developer Just-room Landscape-district School 
Food-market Shopping-Mall square Exercise-and-fitness Bus-hub 
Just-room 单身apartment Scenic-spot Low-univalent low-density 
Brand-developer Landscape-district Shopping-Mall Compound-real-estate Kindergarten 
River-scenery Large-community Sufficient-parking-space Non-blank Kindergarten 
Room-for-improvement River-scenery Shunting-of-human-and-vehicle Bank Park 
Just-room Low-total-price apartment Low-univalent 
Brand-developer Just-room Landscape-district Natural-lake low-density 
Line-1 Brand-developer Room-for-improvement Landscape-district Large-community 
Just-room Landscape-district Park low-density Villa 
Brand-developer Just-room Large-community Hospital School 
Brand-developer Just-room 单身apartment Landscape-district 
Brand-developer Room-for-improvement Landscape-district low-density 
Brand-developer Room-for-improvement Landscape-district Shunting-of-human-and-vehicle Sufficient-parking-space 
Brand-developer Room-for-improvement Landscape-district Sufficient-parking-space low-density 
Brand-developer Just-room Low-total-price River-scenery low-density 
Brand-developer Just-room Landscape-district Shunting-of-human-and-vehicle Villa 
Brand-developer Room-for-improvement Landscape-district River-scenery low-density 
Brand-developer Just-room Landscape-district Sufficient-parking-space low-density 
Just-room Low-univalent Shunting-of-human-and-vehicle Sufficient-parking-space Natural-lake 
Just-room Low-total-price Food-market Market School 
Brand-developer Landscape-district Large-community Sufficient-parking-space Mountain-scenery 
Brand-developer Room-for-improvement Landscape-district School 
Room-for-improvement Landscape-district Investment-real-estate low-density Villa 
Room-for-improvement Landscape-district Large-community Sufficient-parking-space Compound-real-estate 
Just-room Low-total-price Landscape-district Kindergarten low-density 
Low-univalent River-scenery Kindergarten Bus-hub 
Just-room Landscape-district Shunting-of-human-and-vehicle School Villa 
Just-room Landscape-district Low-univalent low-density Villa 
酒店式apartment 单身apartment apartment synthesis School 
Room-for-improvement Landscape-district Large-community Marriage-room Sufficient-parking-space 
Just-room Landscape-district Man-made-Lake Sufficient-parking-space low-density 
Room-for-improvement Landscape-district Shunting-of-human-and-vehicle Sufficient-parking-space Attic 
Just-room Man-made-Lake Food-market School 
Brand-developer Just-room Landscape-district Large-community Sufficient-parking-space 
Landscape-district Market Large-community Shunting-of-human-and-vehicle Kindergarten 
Landscape-district Food-market Large-community River-scenery Bus-hub 
Landscape-district Large-community Food-market Shunting-of-human-and-vehicle Street-of-delicacies 
Room-for-improvement Landscape-district Shunting-of-human-and-vehicle low-density Villa 
Line-1 Just-room Landscape-district Large-community Natural-lake 
Line-1 Just-room Landscape-district Large-community Natural-lake 
Shopping-Mall Just-room Landscape-district Sufficient-parking-space Large-sized-apartment 
Room-for-improvement Landscape-district Low-univalent low-density 
Just-room Low-univalent Shunting-of-human-and-vehicle Sufficient-parking-space 
Just-room Low-total-price Man-made-Lake Food-market Large-community 
Brand-developer Just-room 单身apartment Room-for-improvement Landscape-district 
Brand-developer Just-room Landscape-district Sufficient-parking-space Natural-lake 
Forthcoming-opening Scenic-spot Man-made-Lake Shunting-of-human-and-vehicle Mountain-scenery 
Line-1 Brand-developer Room-for-improvement Landscape-district synthesis 
Just-room Market Shunting-of-human-and-vehicle Bank Bus-hub 
Brand-developer Landscape-district Natural-lake Luxury-house low-density 
Just-room Shopping-Mall Bank Hospital School 
Brand-developer Just-room Landscape-district Sufficient-parking-space low-density 
Line-1 Brand-developer Room-for-improvement two-fullbacks Landscape-district 
Brand-developer Just-room Landscape-district River-scenery low-density 
Brand-developer Just-room apartment Market Compound-real-estate 
Brand-developer Just-room Landscape-district Kindergarten low-density 
Brand-developer Just-room Large-community Sufficient-parking-space School 
Line-1 Landscape-district Sufficient-parking-space Luxury-house low-density 
Just-room Landscape-district Shunting-of-human-and-vehicle Natural-lake 
Just-room Landscape-district Shunting-of-human-and-vehicle Natural-lake 
Landscape-district Shunting-of-human-and-vehicle Sufficient-parking-space Park School 
Just-room Low-total-price Low-univalent Shunting-of-human-and-vehicle Kindergarten 
Line-1 synthesis River-scenery Sufficient-parking-space Non-blank 
Line-1 Just-room Landscape-district synthesis Shunting-of-human-and-vehicle 
Brand-developer Just-room Landscape-district Market Sufficient-parking-space 
Landscape-district Shopping-Mall Large-community Shunting-of-human-and-vehicle Park 
Just-room Scenic-spot Landscape-district Mountain-scenery low-density 
Just-room Scenic-spot Landscape-district apartment Low-univalent 
Brand-developer Forthcoming-opening Mountain-scenery two-fullbacks Landscape-district 
Brand-developer Landscape-district Market Shunting-of-human-and-vehicle Sufficient-parking-space 
Just-room Market River-scenery Kindergarten 
Just-room Landscape-district Low-univalent Sufficient-parking-space low-density 
Just-room 单身apartment Landscape-district Market Natural-lake 
Brand-developer Forthcoming-opening Market Kindergarten Investment-real-estate 
Just-room Landscape-district Natural-lake Park low-density 
Just-room Room-for-improvement Kindergarten Landscape-district Large-community 
Brand-developer Room-for-improvement Landscape-district Large-community 
Brand-developer Just-room Low-total-price Landscape-district Park 
Brand-developer Just-room Low-total-price Landscape-district low-density 
Room-for-improvement Landscape-district Old-age-house Shunting-of-human-and-vehicle Sufficient-parking-space 
Room-for-improvement Shopping-Mall Shunting-of-human-and-vehicle Compound-real-estate School 
Room-for-improvement Landscape-district Sufficient-parking-space low-density Villa 
apartment Large-community Street-of-delicacies Kindergarten School 
Landscape-district Large-community Shunting-of-human-and-vehicle Sufficient-parking-space Luxury-house 
Brand-developer Just-room Low-total-price Landscape-district Large-community 
Just-room Terrace two-fullbacks Landscape-district Sufficient-parking-space 
Room-for-improvement Landscape-district Old-age-house Mountain-scenery low-density 
Just-room Low-total-price Landscape-district Low-univalent Bay-window 
Brand-developer Room-for-improvement Landscape-district Large-community Shunting-of-human-and-vehicle 
Brand-developer Just-room Landscape-district Large-community Sufficient-parking-space 
Brand-developer Room-for-improvement Heating-building Landscape-district low-density 
Brand-developer Landscape-district Sufficient-parking-space Luxury-house low-density 
Just-room Low-total-price Food-market Bank 
Brand-developer Room-for-improvement Landscape-district Large-community New-opening 
单身apartment Low-total-price Man-made-Lake Sufficient-parking-space Park 
Brand-developer Room-for-improvement Landscape-district River-scenery low-density 
Just-room Landscape-district Floor-heating Non-blank low-density 
Brand-developer Room-for-improvement Landscape-district low-density School 
Just-room Low-total-price Market Sufficient-parking-space low-density 
Line-1 Brand-developer Landscape-district Sufficient-parking-space Natural-lake 
Just-room Landscape-district Large-community low-density School 
Brand-developer Just-room apartment Low-univalent Sufficient-parking-space 
Brand-developer Just-room Landscape-district Low-univalent low-density 
Line-1 Brand-developer Room-for-improvement River-scenery New-opening 
Brand-developer Just-room Landscape-district Natural-lake 
Brand-developer Just-room Landscape-district Low-univalent Shunting-of-human-and-vehicle 
Just-room Food-market Market Shopping-Mall Villa 
Landscape-district Mountain-scenery Kindergarten Park low-density 
Just-room Room-for-improvement Landscape-district Large-community Kindergarten 
Just-room Low-total-price Low-univalent Sufficient-parking-space Investment-real-estate 
Brand-developer Room-for-improvement Landscape-district Sufficient-parking-space low-density 
Brand-developer apartment Shunting-of-human-and-vehicle Natural-lake Villa 
Just-room 单身apartment synthesis Sufficient-parking-space Investment-real-estate 
Brand-developer Just-room Landscape-district Large-community Sufficient-parking-space 
Just-room two-fullbacks Landscape-district Sufficient-parking-space Three-rooms-facing-south 
Brand-developer Just-room Shunting-of-human-and-vehicle low-density Villa 
Just-room Landscape-district Low-univalent low-density 
Brand-developer Landscape-district River-scenery Non-blank Luxury-house 
Room-for-improvement Sufficient-parking-space Luxury-house low-density School 
Brand-developer Just-room low-density Villa 
Room-for-improvement Shunting-of-human-and-vehicle Sufficient-parking-space With-a-swimming-pool School 
Brand-developer Just-room Room-for-improvement Compound-real-estate low-density 
Line-1 Brand-developer Landscape-district Bay-window New-opening 
Heating-building Brand-developer Just-room Sufficient-parking-space Villa 
Line-1 Brand-developer Landscape-district Shopping-Mall River-scenery 
Line-1 Room-for-improvement Landscape-district Shopping-Mall Large-community 
Room-for-improvement River-scenery Sufficient-parking-space Bank Park 
Brand-developer River-scenery Sufficient-parking-space Non-blank Investment-real-estate 
Brand-developer Just-room Room-for-improvement Landscape-district Shunting-of-human-and-vehicle 
Brand-developer Forthcoming-opening two-fullbacks Kindergarten Landscape-district 
Brand-developer Just-room Room-for-improvement Landscape-district Shunting-of-human-and-vehicle 
Just-room Landscape-district Man-made-Lake Large-community Exercise-and-fitness 
Room-for-improvement two-fullbacks synthesis apartment Low-univalent 
Brand-developer Bay-window Sufficient-parking-space Refined-decoration Home-garden 
Brand-developer Just-room Room-for-improvement two-fullbacks Landscape-district 
Old-age-house Scenic-spot Exercise-and-fitness Mountain-scenery low-density 
Low-total-price apartment Market low-density 
Brand-developer Landscape-district Shopping-Mall Shunting-of-human-and-vehicle Sufficient-parking-space 
Brand-developer Just-room Room-for-improvement Landscape-district low-density 
Brand-developer Just-room Low-total-price Low-univalent Compound-real-estate 
Brand-developer Landscape-district River-scenery Large-community 
Brand-developer Landscape-district 酒店式apartment Natural-lake Non-blank 
North-and-South-permeable Landscape-district Shunting-of-human-and-vehicle Mountain-scenery Home-garden 
Just-room Landscape-district Large-community Shunting-of-human-and-vehicle low-density 
Line-1 Brand-developer 单身apartment synthesis Market 
synthesis Market Compound-real-estate Investment-real-estate School 
Brand-developer Landscape-district Shunting-of-human-and-vehicle Sufficient-parking-space Luxury-house 
Market Shopping-Mall Shunting-of-human-and-vehicle Street-of-delicacies High-end-Club 
Brand-developer Just-room Sufficient-parking-space low-density School 
Brand-developer Just-room Low-total-price Market Low-univalent 
Brand-developer Just-room Low-total-price Market Low-univalent 
Brand-developer Just-room Landscape-district Low-univalent Non-blank 
Brand-developer Landscape-district Shunting-of-human-and-vehicle Sufficient-parking-space Villa 
Brand-developer Just-room Room-for-improvement Low-total-price Landscape-district 
Brand-developer Just-room Market Sufficient-parking-space Natural-lake 
Brand-developer Just-room Market Sufficient-parking-space Natural-lake 
单身apartment Market Shopping-Mall Low-univalent Investment-real-estate 
Line-1 Brand-developer 单身apartment Landscape-district synthesis 
Just-room Low-total-price 酒店式apartment Low-univalent Sufficient-parking-space 
Line-1 Brand-developer Room-for-improvement synthesis Large-community 
Line-1 Room-for-improvement two-fullbacks Landscape-district Bay-window 
Just-room Market Large-community Compound-real-estate 
Just-room Low-total-price Low-univalent low-density 
Brand-developer Room-for-improvement Landscape-district Shunting-of-human-and-vehicle Sufficient-parking-space 
